Frame number,Mean intensity
0,180.02999985218048
1,180.02999985218048
2,189.86000084877014
3,180.34999978542328
4,181.4199995994568
5,165.4700002670288
6,171.96000003814697
7,182.87999975681305
8,170.13999938964844
9,148.85000002384186
10,149.16999971866608
11,159.17000019550323
12,146.86000001430511
13,134.35000014305115
14,146.9700002670288
15,143.85000002384186
16,146.099999666214
17,131.5400003194809
18,138.89999973773956
19,141.04999995231628
20,141.1599999666214
21,135.79000025987625
22,151.2999997138977
23,170.8899998664856
24,173.9099999666214
25,158.49999952316284
26,165.91999995708466
27,171.1899996995926
28,161.0299997329712
29,167.87000012397766
30,186.84999883174896
31,158.59000039100647
32,161.1100002527237
33,154.66000020503998
34,171.98000037670135
35,183.98999965190887
36,187.48999977111816
37,189.51999962329865
38,202.34999990463257
39,185.4799997806549
40,186.5799994468689
41,185.82999980449677
42,172.44999969005585
43,154.85999965667725
44,152.6300004720688
45,151.60000014305115
46,132.44999992847443
47,135.05999994277954
48,134.81999999284744
49,143.81000006198883
50,130.23999953269958
51,136.12000048160553
52,134.2999997138977
53,144.7700002193451
54,131.7199991941452
55,137.94000017642975
56,139.08000075817108
57,136.12999957799911
58,133.1300002336502
59,124.50000011920929
60,129.17999982833862
61,133.40000081062317
62,146.599999666214
63,160.1599998474121
64,157.12000012397766
65,152.56000018119812
66,157.9099999666214
67,154.39999997615814
68,139.96000015735626
69,152.2099997997284
70,154.01999974250793
71,178.8899998664856
72,171.51999950408936
73,175.19000017642975
74,173.4599997997284
75,186.16999983787537
76,177.4599996805191
77,189.24999964237213
78,193.17999911308289
79,179.66999983787537
80,155.03000009059906
81,158.00999999046326
82,149.62999939918518
83,133.75999987125397
84,128.93999993801117
85,141.7499998807907
86,143.69000029563904
87,128.0900000333786
88,133.71999979019165
89,133.2500001192093
90,139.12999939918518
91,129.200000166893
92,131.23999977111816
93,132.92000031471252
94,127.21999967098236
95,129.2500001192093
96,129.20999985933304
97,144.6100001335144
98,145.200000166893
99,151.75999975204468
100,150.2499998807907
101,164.03999996185303
102,143.32000017166138
103,150.0600004196167
104,160.77999925613403
105,162.5799995660782
106,149.71999979019165
107,153.3499994277954
108,140.43999981880188
109,127.58999955654144
110,139.9599997997284
111,141.29000008106232
112,141.3299995660782
113,127.67999982833862
114,131.5900001525879
115,130.66999995708466
116,124.16000038385391
117,129.0400002002716
118,131.09000027179718
119,132.24000096321106
120,121.27999955415726
121,126.71000003814697
122,129.74999874830246
123,126.17999976873398
124,117.61999976634979
125,122.3199999332428
126,130.18000012636185
127,123.26000010967255
128,122.64999932050705
129,124.25000017881393
130,129.03999972343445
131,121.83999991416931
132,129.5800005197525
133,139.3600001335144
134,150.96999967098236
135,148.09999990463257
136,154.28000009059906
137,149.96000003814697
138,163.39999985694885
139,138.39999985694885
140,151.51999950408936
141,161.1899995803833
142,152.24000012874603
143,155.2000002861023
144,161.1399998664856
145,167.01999962329865
146,149.01999986171722
147,161.35999929904938
148,153.13999998569489
149,162.99000024795532
