Frame number,Mean intensity
0,132.319999396801
1,132.319999396801
2,157.2999997138977
3,137.52000015974045
4,139.9199995994568
5,150.7499998807907
6,153.150000333786
7,159.6799999475479
8,159.30000019073486
9,152.33999979496002
10,152.7200003862381
11,167.9500002861023
12,156.83000028133392
13,149.99000024795532
14,162.3800002336502
15,160.17999982833862
16,163.90999925136566
17,148.69000041484833
18,161.48000013828278
19,160.44999969005585
20,157.8200000524521
21,145.45000064373016
22,151.56000018119812
23,145.54999947547913
24,144.71999990940094
25,133.27999985218048
26,132.5899999141693
27,125.69999998807907
28,129.18000024557114
29,134.32999992370605
30,148.1199997663498
31,137.91999989748
32,158.0299997329712
33,168.46000039577484
34,193.60000014305115
35,190.76999986171722
36,183.26999974250793
37,166.3600002527237
38,157.80999958515167
39,158.28999972343445
40,160.1500005722046
41,171.80000042915344
42,170.35999977588654
43,161.04000055789948
44,167.36999928951263
45,168.14999949932098
46,152.2099997997284
47,157.78999984264374
48,156.96999990940094
49,162.93000042438507
50,150.83000004291534
51,161.19000029563904
52,156.5700000524521
53,167.28000009059906
54,157.00999999046326
55,161.76000022888184
56,162.34000039100647
57,158.32999980449677
58,157.41999983787537
59,146.55999958515167
60,151.82999980449677
61,149.17000019550323
62,153.1300003528595
63,153.89999961853027
64,139.52000057697296
65,136.5299994945526
66,132.95000052452087
67,135.75000017881393
68,118.54999995231628
69,140.16999983787537
70,137.08999979496002
71,139.26999938488007
72,138.1299992799759
73,137.27000057697296
74,135.06000006198883
75,139.05999946594238
76,146.11000007390976
77,153.349999666214
78,157.37999987602234
79,162.5400002002716
80,155.51000010967255
81,157.84000039100647
82,161.31000006198883
83,148.9799998998642
84,149.80999970436096
85,162.25
86,158.57999992370605
87,146.3400001525879
88,152.55999982357025
89,157.10000026226044
90,163.32999968528748
91,146.0199999809265
92,155.04999995231628
93,155.26000034809113
94,146.19999992847443
95,147.88999962806702
96,151.28000009059906
97,155.3600001335144
98,143.5699998140335
99,147.89000034332275
100,136.57999968528748
101,140.5699998140335
102,131.8000003695488
103,126.92999994754791
104,129.3299995660782
105,142.9399996995926
106,145.44000029563904
107,169.28999984264374
108,172.81000018119812
109,156.150000333786
110,176.37999987602234
111,187.44999980926514
112,180.44999957084656
113,156.9599996805191
114,154.53999984264374
115,152.87999999523163
116,142.8300004005432
117,149.2199993133545
118,155.71999955177307
119,158.66000020503998
120,140.4799998998642
121,143.6000006198883
122,156.05000007152557
123,152.96000003814697
124,129.07999980449677
125,144.60999989509583
126,150.69000017642975
127,146.09999978542328
128,133.950000166893
129,142.6599999666214
130,150.29000008106232
131,135.26999938488007
132,140.14999949932098
133,146.0600003004074
134,148.3500006198883
135,129.82000041007996
136,133.99000000953674
137,120.75999999046326
138,132.19000017642975
139,122.79999977350235
140,128.55000019073486
141,133.05999958515167
142,127.36999970674515
143,130.95000004768372
144,134.5100005865097
145,148.64999973773956
146,134.21000015735626
147,140.04000043869019
148,135.53999972343445
149,144.56000006198883
