Frame number,Mean intensity
0,128.27999967336655
1,128.27999967336655
2,150.89000034332275
3,130.27999985218048
4,136.24999940395355
5,148.29999959468842
6,146.2400004863739
7,150.42000031471252
8,151.39000010490417
9,147.5
10,149.4900003671646
11,158.45999991893768
12,151.13000011444092
13,147.08000004291534
14,154.40999960899353
15,152.38999998569489
16,155.05000007152557
17,149.16999995708466
18,153.6200007200241
19,153.46000027656555
20,149.36000019311905
21,143.96999996900558
22,146.13999998569489
23,144.200000166893
24,140.71999990940094
25,130.15999960899353
26,127.58999973535538
27,123.44000041484833
28,127.94000041484833
29,131.62999999523163
30,136.1300008893013
31,120.5599998831749
32,147.64999985694885
33,143.2799994945526
34,159.85999953746796
35,164.46999990940094
36,160.15999960899353
37,146.8099993467331
38,143.51000010967255
39,148.1699994802475
40,152.25
41,155.960000872612
42,156.25999975204468
43,152.96000003814697
44,156.46000063419342
45,155.77999985218048
46,150.19000029563904
47,151.5199999809265
48,148.7700002193451
49,156.83999955654144
50,151.5199999809265
51,153.75
52,148.37999963760376
53,158.02000033855438
54,157.0600003004074
55,157.57999980449677
56,156.59000039100647
57,153.8899997472763
58,154.07999980449677
59,141.2300000190735
60,146.03999984264374
61,149.66000020503998
62,149.70999944210052
63,148.33999967575073
64,138.2599996328354
65,136.6799999475479
66,131.7200003862381
67,134.7900002002716
68,116.28000009059906
69,139.80999994277954
70,135.30000042915344
71,135.77999997138977
72,137.08000004291534
73,134.7299997806549
74,132.48000037670135
75,136.90000021457672
76,144.6599998474121
77,151.8600002527237
78,151.10999965667725
79,153.96000015735626
80,148.73000025749207
81,151.61000037193298
82,155.01999926567078
83,147.67000031471252
84,144.79000008106232
85,153.11999934911728
86,154.8100003004074
87,147.4399995803833
88,149.0599993467331
89,149.48000025749207
90,158.05999982357025
91,151.55999994277954
92,150.67999958992004
93,151.1300003528595
94,147.4099998474121
95,150.69999980926514
96,146.53000032901764
97,150.9799997806549
98,145.09999930858612
99,148.10000014305115
100,134.53999936580658
101,139.8999999165535
102,135.4100000858307
103,126.45000004768372
104,125.87000036239624
105,137.73000025749207
106,133.8800002336502
107,142.71000015735626
108,143.25999999046326
109,137.10000002384186
110,160.51999974250793
111,164.64000022411346
112,165.6100001335144
113,151.78000020980835
114,150.92000019550323
115,145.54000008106232
116,145.60999965667725
117,150.71000027656555
118,151.38999938964844
119,152.72999966144562
120,149.7700001001358
121,150.89000034332275
122,152.52000057697296
123,149.8100004196167
124,142.12999993562698
125,146.66999876499176
126,152.06999969482422
127,145.12999999523163
128,144.20000040531158
129,148.07000041007996
130,152.37999975681305
131,145.14000010490417
132,147.3500007390976
133,150.11999940872192
134,151.90000021457672
135,136.96000015735626
136,135.05999982357025
137,125.86999976634979
138,136.47999966144562
139,125.95999997854233
140,131.18000036478043
141,136.07000076770782
142,133.7599995136261
143,138.35000044107437
144,138.19999992847443
145,148.42999958992004
146,143.76000034809113
147,144.15000009536743
148,139.3999993801117
149,149.30000042915344
