Frame number,Mean intensity
0,186.12999975681305
1,186.12999975681305
2,185.1699995994568
3,167.5299997329712
4,170.20000004768372
5,165.349999666214
6,162.58999979496002
7,174.68999993801117
8,172.90000021457672
9,161.0499997138977
10,159.02999985218048
11,177.99999952316284
12,170.1600000858307
13,155.37000036239624
14,167.2400004863739
15,168.38999938964844
16,175.16000020503998
17,156.24000000953674
18,162.32000041007996
19,167.51000046730042
20,164.97000014781952
21,151.50999975204468
22,173.77999997138977
23,197.7999986410141
24,201.16999912261963
25,185.63999927043915
26,170.99999976158142
27,174.7500001192093
28,179.0900000333786
29,171.53999984264374
30,178.62999975681305
31,165.0299997329712
32,176.5600003004074
33,148.5000001192093
34,165.0600004196167
35,175.7699999809265
36,166.07999968528748
37,158.67999970912933
38,158.02999985218048
39,158.23999989032745
40,163.33999967575073
41,172.79999995231628
42,175.67000079154968
43,160.82999968528748
44,166.01999974250793
45,170.9300001859665
46,155.32000041007996
47,154.75000023841858
48,155.27999997138977
49,165.19000029563904
50,151.76999986171722
51,160.1899995803833
52,158.92000019550323
53,167.15999960899353
54,154.65999960899353
55,161.61000001430511
56,166.29000043869019
57,164.00999999046326
58,155.489999294281
59,144.86000001430511
60,147.69000041484833
61,151.3800004720688
62,150.0800004005432
63,158.7300000190735
64,174.2900002002716
65,168.11999988555908
66,170.7500001192093
67,163.64000034332275
68,150.73000013828278
69,182.2700002193451
70,168.1899996995926
71,183.86999988555908
72,168.07000029087067
73,160.39999985694885
74,158.0899999141693
75,160.39000022411346
76,161.9399995803833
77,164.20999991893768
78,167.7299998998642
79,168.1100002527237
80,155.2299998998642
81,161.58000016212463
82,162.4799997806549
83,154.06999957561493
84,146.6100002527237
85,160.51000046730042
86,158.2900002002716
87,146.4499990940094
88,150.19000005722046
89,153.49999964237213
90,156.9099999666214
91,147.19000005722046
92,150.14000022411346
93,154.08000004291534
94,148.87999987602234
95,145.83000004291534
96,146.00999999046326
97,153.950000166893
98,145.2299998998642
99,148.03000044822693
100,146.12000000476837
101,165.93000042438507
102,165.28000009059906
103,160.72000002861023
104,159.19999945163727
105,178.37000012397766
106,157.59999990463257
107,162.75000023841858
108,163.51999950408936
109,164.72000014781952
110,166.35999965667725
111,165.12999951839447
112,167.1300003528595
113,152.37999999523163
114,151.92999958992004
115,153.19000005722046
116,146.75
117,149.42000007629395
118,153.7099997997284
119,152.85999989509583
120,146.31000018119812
121,148.3399999141693
122,150.1600000858307
123,149.59000027179718
124,139.7299997806549
125,143.05999958515167
126,152.96999990940094
127,146.4200004339218
128,141.21999967098236
129,141.56999945640564
130,148.689999461174
131,142.83999931812286
132,143.54999995231628
133,146.29999995231628
134,146.26000022888184
135,144.94000029563904
136,156.6399998664856
137,152.23000073432922
138,176.51999986171722
139,147.6299991607666
140,151.12999951839447
141,155.96999990940094
142,151.2800006866455
143,153.09999978542328
144,156.25
145,182.54999959468842
146,165.80000042915344
147,164.1500005722046
148,165.17999970912933
149,170.96000015735626
