Frame number,Mean intensity
0,180.20999944210052
1,180.20999944210052
2,194.51999986171722
3,188.2200003862381
4,196.0099993944168
5,193.05999946594238
6,192.34999930858612
7,203.14999997615814
8,200.90999972820282
9,190.19999957084656
10,191.56999957561493
11,203.98999953269958
12,197.55999994277954
13,184.57999980449677
14,195.6199986934662
15,196.83999955654144
16,199.4599987268448
17,187.30999946594238
18,193.97000062465668
19,196.1999990940094
20,193.19999957084656
21,179.20999991893768
22,188.26999962329865
23,188.2599996328354
24,181.95999920368195
25,169.25000023841858
26,170.3499995470047
27,167.70999944210052
28,178.05999982357025
29,175.64999985694885
30,187.20000004768372
31,168.15999972820282
32,188.12000024318695
33,160.95000004768372
34,179.02999997138977
35,192.5599991083145
36,186.99999964237213
37,182.0099996328354
38,181.10999929904938
39,181.74000024795532
40,190.23000037670135
41,199.8899998664856
42,198.7199991941452
43,187.75999987125397
44,192.3699996471405
45,194.90999948978424
46,181.65999913215637
47,185.2799997329712
48,185.3899998664856
49,193.79999899864197
50,182.69999969005585
51,186.98999953269958
52,183.5399992465973
53,197.08999967575073
54,183.82000017166138
55,191.5700010061264
56,194.63999950885773
57,188.47999918460846
58,188.24999952316284
59,170.39000046253204
60,179.4500002861023
61,180.88999998569489
62,182.70000040531158
63,188.75999999046326
64,178.81999969482422
65,173.00999999046326
66,177.4799998998642
67,178.1199996471405
68,164.4399995803833
69,186.99999964237213
70,185.1999992132187
71,185.6199995279312
72,182.0199999809265
73,175.8899998664856
74,174.12999951839447
75,179.69999980926514
76,181.8899997472763
77,190.67999947071075
78,195.35999929904938
79,197.04999923706055
80,182.7799996137619
81,192.1199996471405
82,189.0699998140335
83,178.89999985694885
84,172.56999957561493
85,189.85999953746796
86,188.18999934196472
87,178.03000044822693
88,180.07000029087067
89,183.28999984264374
90,190.17999958992004
91,181.05000019073486
92,179.5200001001358
93,180.95999991893768
94,176.84000027179718
95,177.12999951839447
96,174.80000030994415
97,184.03999984264374
98,177.09999907016754
99,179.4900004863739
100,171.25
101,174.95999956130981
102,166.33000016212463
103,162.1699994802475
104,160.73999965190887
105,180.42999958992004
106,178.5400002002716
107,185.18999922275543
108,177.26000022888184
109,166.48000037670135
110,178.58999967575073
111,180.95999932289124
112,185.39999961853027
113,173.8800004720688
114,178.43999922275543
115,173.0900000333786
116,170.09000051021576
117,178.47999954223633
118,177.60999929904938
119,179.15999948978424
120,174.00000023841858
121,178.22999966144562
122,176.52999997138977
123,176.9399995803833
124,165.28000009059906
125,174.66000056266785
126,179.28999996185303
127,173.81000077724457
128,167.65999960899353
129,173.10000002384186
130,178.06000018119812
131,171.26999974250793
132,175.10000026226044
133,175.95000052452087
134,182.6399997472763
135,168.19999969005585
136,171.7999997138977
137,159.99000000953674
138,180.6399998664856
139,170.50000023841858
140,182.53999972343445
141,181.49000000953674
142,174.0000001192093
143,172.38000011444092
144,177.62999999523163
145,193.42999935150146
146,180.49000000953674
147,179.7099997997284
148,175.21999990940094
149,185.69000005722046
