Frame number,Mean intensity
0,172.72999942302704
1,172.72999942302704
2,178.8499995470047
3,161.67000031471252
4,166.85000038146973
5,165.53999996185303
6,165.41999912261963
7,169.71000063419342
8,169.51999986171722
9,157.04000008106232
10,156.41999971866608
11,172.77000033855438
12,162.78999984264374
13,151.39999973773956
14,162.35000026226044
15,161.97999954223633
16,164.28000020980835
17,150.72999966144562
18,157.80000019073486
19,158.1999990940094
20,159.23000013828278
21,146.78999948501587
22,155.03000009059906
23,166.8000007867813
24,178.37000000476837
25,177.25999975204468
26,187.5900000333786
27,180.21999967098236
28,180.39999961853027
29,180.55000007152557
30,185.88999938964844
31,158.51999938488007
32,172.41999995708466
33,157.49000024795532
34,174.16000032424927
35,190.51999986171722
36,189.80000007152557
37,178.7900003194809
38,172.6399997472763
39,164.28999972343445
40,169.2299997806549
41,171.84000027179718
42,166.59000039100647
43,159.5099995136261
44,162.46000063419342
45,165.2099997997284
46,151.02000057697296
47,155.63999950885773
48,153.01999986171722
49,159.64999961853027
50,149.24000000953674
51,155.59999990463257
52,153.44000017642975
53,162.0600003004074
54,153.58000028133392
55,157.18999993801117
56,159.82000017166138
57,158.54000008106232
58,153.68999993801117
59,142.19999933242798
60,146.1100002527237
61,148.77999985218048
62,153.96000051498413
63,160.5499997138977
64,155.06000113487244
65,168.8100003004074
66,184.68999934196472
67,194.96999979019165
68,179.4700002670288
69,198.54999995231628
70,189.38999927043915
71,194.0099993944168
72,181.16999900341034
73,190.36000037193298
74,191.10999989509583
75,189.4099998474121
76,179.02000033855438
77,184.89999997615814
78,179.14999997615814
79,177.689999461174
80,161.12000048160553
81,164.32000041007996
82,162.4599996805191
83,149.02000045776367
84,149.25000035762787
85,160.150000333786
86,160.1600000858307
87,149.90999948978424
88,153.07000041007996
89,153.4200005531311
90,160.43999993801117
91,147.31999921798706
92,150.9099998474121
93,153.86000084877014
94,146.400000333786
95,148.93000030517578
96,146.84000051021576
97,156.87999987602234
98,151.9700002670288
99,161.08000028133392
100,166.34999990463257
101,197.60999965667725
102,177.76999974250793
103,182.79999923706055
104,187.59999990463257
105,193.43000030517578
106,189.77999997138977
107,190.15999937057495
108,176.7500001192093
109,153.6299991607666
110,164.9799998998642
111,161.7299998998642
112,162.9399995803833
113,148.81000018119812
114,153.9700002670288
115,151.7499998807907
116,140.74999964237213
117,147.7200005054474
118,148.76999962329865
119,147.7999997138977
120,138.65999954938889
121,144.8399999141693
122,146.28999972343445
123,146.38999998569489
124,132.23000037670135
125,140.67000061273575
126,148.48999989032745
127,141.21000039577484
128,137.39999973773956
129,141.65999960899353
130,149.19000017642975
131,138.719999730587
132,144.03999984264374
133,147.7000002861023
134,159.34000039100647
135,155.73000049591064
136,166.87999975681305
137,171.57000017166138
138,187.08999967575073
139,180.16999900341034
140,183.89999949932098
141,181.38999950885773
142,158.8900008201599
143,161.91000032424927
144,158.2599993944168
145,173.53999984264374
146,157.1300002336502
147,159.58999979496002
148,153.38999962806702
149,162.73000025749207
