Frame number,Mean intensity
0,207.6899996995926
1,207.6899996995926
2,199.10999977588654
3,194.7099984884262
4,195.80999982357025
5,166.33999967575073
6,172.55000042915344
7,189.78999972343445
8,169.08999979496002
9,143.93999981880188
10,140.9100000858307
11,150.32000029087067
12,140.43000030517578
13,132.56000089645386
14,139.6500004529953
15,137.299999833107
16,141.18000042438507
17,128.29000067710876
18,133.8000002503395
19,135.98000013828278
20,135.13000041246414
21,128.5999995470047
22,137.10999965667725
23,162.4500002861023
24,174.87999975681305
25,157.6299996972084
26,164.2299998998642
27,172.78000032901764
28,159.79000008106232
29,174.04000008106232
30,200.59999883174896
31,163.35000002384186
32,161.3400001525879
33,156.93000054359436
34,172.8800004720688
35,186.03999960422516
36,188.91000020503998
37,198.49999940395355
38,206.66999900341034
39,180.4399996995926
40,175.69999980926514
41,172.72999966144562
42,157.0400002002716
43,144.2500001192093
44,144.77000057697296
45,143.70999932289124
46,129.31999963521957
47,130.23999989032745
48,130.96999990940094
49,137.4800000190735
50,128.06000036001205
51,131.5199999809265
52,128.5000005364418
53,138.35000002384186
54,132.15999990701675
55,134.81000018119812
56,135.91999989748
57,132.13999968767166
58,130.32000017166138
59,122.85999989509583
60,128.28000044822693
61,128.8400000333786
62,133.8699995279312
63,142.44000005722046
64,142.7299998998642
65,150.51999974250793
66,152.86999982595444
67,157.21999979019165
68,143.68999981880188
69,163.58999979496002
70,171.68000054359436
71,192.4099999666214
72,175.6100001335144
73,180.03999960422516
74,176.53999936580658
75,187.1199996471405
76,183.3199999332428
77,196.04999959468842
78,194.87000000476837
79,174.04000008106232
80,148.0099995136261
81,149.28000009059906
82,146.84999990463257
83,134.77000033855438
84,130.30000019073486
85,141.33000004291534
86,139.44000029563904
87,127.36000007390976
88,130.87000012397766
89,130.9200000166893
90,139.02999997138977
91,127.93000066280365
92,130.39000010490417
93,132.90000051259995
94,126.08000046014786
95,127.62999939918518
96,126.26999992132187
97,134.55000054836273
98,132.83999967575073
99,137.90000063180923
100,136.2900002002716
101,153.44000029563904
102,145.90000009536743
103,157.04999923706055
104,169.21000003814697
105,164.62999987602234
106,155.5600003004074
107,153.25
108,145.0100005865097
109,130.9099999666214
110,141.80999970436096
111,140.50000023841858
112,139.03999960422516
113,128.8599995970726
114,132.15999960899353
115,129.59999960660934
116,125.15999972820282
117,130.60000050067902
118,131.62999993562698
119,131.06999969482422
120,125.0099995136261
121,128.00999987125397
122,130.2199998497963
123,126.23000001907349
124,122.23999989032745
125,125.12000024318695
126,131.6600000858307
127,127.95999985933304
128,123.03999960422516
129,126.22000020742416
130,130.87000000476837
131,125.10000002384186
132,130.45999985933304
133,133.6299996972084
134,145.5299996137619
135,144.81999969482422
136,153.99999976158142
137,156.10999989509583
138,161.549999833107
139,147.21999990940094
140,157.27999997138977
141,168.63999962806702
142,156.55999982357025
143,159.39000058174133
144,162.0
145,165.31000006198883
146,147.91000044345856
147,155.87999999523163
148,151.34999990463257
149,155.71000003814697
